moud_med,ndc
bup,63629712505
bup,63629712506
bup,63629712507
bup,63629712601
bup,63629712602
bup,63629712603
bup,63629712604
bup,63629712605
bup,63629712606
bup,63629712607
bup,63629712608
bup,63874117303
bup,63874117403
bup,64725093003
bup,64725093004
bup,64725192403
bup,64725192404
bup,68258299103
bup,68308020230
bup,68308020830
bup,71335035301
bup,71335035302
bup,71335035303
bup,71335035304
bup,71335035305
bup,71335035306
bup,71335035307
bup,76519117000
bup,76519117001
bup,76519117002
bup,76519117003
bup,76519117004
bup,76519117005
bup,60687048111
bup,60687048121
bup,60687049211
bup,60687049221
bup,70518155700
bup,71335115403
bup,12496010001
bup,12496010002
bup,12496010005
bup,12496030001
bup,12496030002
bup,12496030005
bup,52440010014
bup,58284010014
bup,59385002160
bup,59385002260
bup,59385002360
bup,59385002460
bup,59385002560
bup,59385002660
bup,59385002760
bup,12496075705
bup,71335095002
bup,71335095004
bup,71335095008
bup,71335095005
bup,71335095007
bup,71335115400
bup,71335115401
bup,71335115402
bup,71335115404
bup,71335115405
bup,71335115406
bup,71335115407
bup,71335115408
bup,71335115409
bup,58118050108
bup,71335095006
bup,58118050208
bup,63629947501
bup,71335095001
bup,71335095003
bup,60687062665
bup,70518312900
bup,70518338900
bup,70518360300
bup,42858060103
bup,42858060203
bup,71335137800
bup,71335137801
bup,71335137802
bup,71335137803
bup,71335137804
bup,71335137805
bup,71335137806
bup,71335137807
bup,71335137808
bup,71335137809
bup,70518231100
bup,60505705305
bup,60505705405
bup,63629948201
bup,63629948301
bup,60687063765
bup,70518348700
bup,71335129601
bup,71335129602
bup,70518201400
bup,70518201401
bup,68071291503
bup,70518222600
bup,70518222601
bup,70518222602
bup,70518222603
bup,71335116300
bup,00904715404
bup,00904715504
bup,58118017608
bup,58118017708
bup,71335116301
bup,71335116302
bup,71335116303
bup,71335116304
bup,71335116305
bup,71335116306
bup,71335116307
bup,71335116308
bup,71335116309
bup,70518100700
bup,63629726901
bup,71335151401
bup,71335151402
bup,00143924605
bup,42023017905
bup,00409201232
bup,70518221600
bup,71335185809
bup,71335165301
bup,71335172001
bup,71335172002
bup,71335172501
bup,76420053430
bup,16729054910
bup,16729055010
bup,00904700906
bup,55700090130
bup,71335172500
bup,71335172502
bup,71335172503
bup,71335172504
bup,71335172505
bup,71335172506
bup,71335172507
bup,71335185800
bup,71335185801
bup,00904701006
bup,71335172508
bup,71335172509
bup,71335185802
bup,71335185803
bup,71335185804
bup,71335185805
bup,71335185806
bup,71335185807
bup,71335185808
bup,55700086760
bup,71335035308
bup,68071259203
bup,50090580500
bup,52427071203
bup,63629712508
bup,00517072505
bup,00378876616
bup,00781721606
bup,00781722706
bup,00781724906
bup,47781035511
bup,47781035611
bup,47781035711
bup,47781035811
bup,51862060830
bup,52427071211
bup,60429058611
bup,60429058711
bup,63629402801
nal,65757030001
