drug,ndc_raw,ndc
amitriptyline,29300-419-10,29300041910
amitriptyline,29300-420-10,29300042010
amitriptyline,55700-689-30,55700068930
amitriptyline,67544-085-70,67544008570
amitriptyline,67544-085-80,67544008580
amitriptyline,55700-600-30,55700060030
amitriptyline,50090-5754-0,50090575400
amitriptyline,60760-556-15,60760055615
amitriptyline,76420-237-30,76420023730
amitriptyline,76420-237-60,76420023760
amitriptyline,76420-237-90,76420023790
amitriptyline,76420-238-30,76420023830
amitriptyline,76420-238-60,76420023860
amitriptyline,76420-238-90,76420023890
amitriptyline,76420-239-30,76420023930
amitriptyline,76420-239-60,76420023960
amitriptyline,76420-239-90,76420023990
amitriptyline,68071-2796-1,68071279601
amitriptyline,63629-1368-1,63629136801
amitriptyline,63629-1368-2,63629136802
amitriptyline,63629-1368-3,63629136803
amitriptyline,63629-1368-4,63629136804
amitriptyline,63629-1368-5,63629136805
amitriptyline,63629-1368-6,63629136806
amitriptyline,63629-1368-7,63629136807
amitriptyline,63629-1368-8,63629136808
amitriptyline,63629-8022-1,63629802201
amitriptyline,68788-6899-8,68788689908
amitriptyline,72189-309-30,72189030930
amitriptyline,16729-171-01,16729017101
amitriptyline,16729-171-17,16729017117
amitriptyline,16729-172-01,16729017201
amitriptyline,16729-172-17,16729017217
amitriptyline,16729-173-01,16729017301
amitriptyline,16729-173-17,16729017317
amitriptyline,16729-174-01,16729017401
amitriptyline,16729-175-01,16729017501
amitriptyline,16729-176-01,16729017601
amitriptyline,29300-421-10,29300042110
amitriptyline,43353-306-30,43353030630
amitriptyline,43353-306-53,43353030653
amitriptyline,43353-306-80,43353030680
amitriptyline,43063-836-30,43063083630
amitriptyline,67296-1816-7,67296181607
amitriptyline,57664-687-88,57664068788
amitriptyline,70710-1226-0,70710122600
amitriptyline,70518-1484-0,70518148400
amitriptyline,70518-1505-1,70518150501
amitriptyline,70518-2258-1,70518225801
amitriptyline,70934-703-30,70934070330
amitriptyline,68788-7061-6,68788706106
amitriptyline,43063-863-30,43063086330
amitriptyline,57664-688-18,57664068818
amitriptyline,57664-689-18,57664068918
amitriptyline,70518-1633-2,70518163302
amitriptyline,67544-085-75,67544008575
amitriptyline,68071-4348-3,68071434803
amitriptyline,0904-0201-61,00904020161
amitriptyline,68071-4405-1,68071440501
amitriptyline,68071-4519-3,68071451903
amitriptyline,0781-1486-01,00781148601
amitriptyline,0781-1486-10,00781148610
amitriptyline,0781-1487-01,00781148701
amitriptyline,16714-446-01,16714044601
amitriptyline,16714-446-02,16714044602
amitriptyline,16714-447-01,16714044701
amitriptyline,16714-447-02,16714044702
amitriptyline,16714-448-01,16714044801
amitriptyline,0781-1487-10,00781148710
amitriptyline,0781-1488-01,00781148801
amitriptyline,0781-1488-10,00781148810
amitriptyline,0781-1489-01,00781148901
amitriptyline,0781-1490-01,00781149001
amitriptyline,0781-1491-01,00781149101
amitriptyline,16714-448-02,16714044802
amitriptyline,16714-449-01,16714044901
amitriptyline,16714-450-01,16714045001
amitriptyline,16714-451-01,16714045101
amitriptyline,71335-0395-0,71335039500
amitriptyline,71335-0395-1,71335039501
amitriptyline,71335-0395-2,71335039502
amitriptyline,71335-0395-3,71335039503
amitriptyline,71335-0395-4,71335039504
amitriptyline,71335-0395-5,71335039505
amitriptyline,71335-0395-6,71335039506
amitriptyline,71335-0395-7,71335039507
amitriptyline,71335-0395-8,71335039508
amitriptyline,71335-0395-9,71335039509
amitriptyline,71335-0040-1,71335004001
amitriptyline,71335-0040-2,71335004002
amitriptyline,71335-0040-3,71335004003
amitriptyline,71335-0040-4,71335004004
amitriptyline,71335-0040-5,71335004005
amitriptyline,71335-0040-6,71335004006
amitriptyline,71335-0040-7,71335004007
amitriptyline,71335-0040-8,71335004008
amitriptyline,63187-637-30,63187063730
amitriptyline,71335-0173-1,71335017301
amitriptyline,71335-0173-2,71335017302
amitriptyline,71335-0173-3,71335017303
amitriptyline,71335-0173-4,71335017304
amitriptyline,71335-0173-5,71335017305
amitriptyline,71335-0306-0,71335030600
amitriptyline,71335-0306-1,71335030601
amitriptyline,71335-0306-2,71335030602
amitriptyline,71335-0306-3,71335030603
amitriptyline,71335-0306-4,71335030604
amitriptyline,71335-0306-5,71335030605
amitriptyline,71335-0306-6,71335030606
amitriptyline,71335-0306-7,71335030607
amitriptyline,71335-0306-8,71335030608
amitriptyline,71335-0306-9,71335030609
amitriptyline,71335-0366-1,71335036601
amitriptyline,71335-0366-2,71335036602
amitriptyline,71335-0366-3,71335036603
amitriptyline,71335-0366-4,71335036604
amitriptyline,71335-0366-5,71335036605
amitriptyline,71335-0366-6,71335036606
amitriptyline,71335-0366-7,71335036607
amitriptyline,71335-0366-8,71335036608
amitriptyline,69306-050-03,69306005003
amitriptyline,69306-050-06,69306005006
amitriptyline,69306-050-09,69306005009
amitriptyline,0904-7184-61,00904718461
amitriptyline,0904-7185-61,00904718561
amitriptyline,68788-7061-8,68788706108
amitriptyline,68788-7061-9,68788706109
amitriptyline,67296-1509-3,67296150903
amitriptyline,55700-619-90,55700061990
amitriptyline,70518-1484-1,70518148401
amitriptyline,70518-1538-3,70518153803
amitriptyline,70518-1538-4,70518153804
amitriptyline,60760-212-15,60760021215
amitriptyline,29300-419-01,29300041901
amitriptyline,29300-419-05,29300041905
amitriptyline,29300-420-01,29300042001
amitriptyline,29300-420-05,29300042005
amitriptyline,29300-421-01,29300042101
amitriptyline,29300-421-05,29300042105
amitriptyline,29300-422-01,29300042201
amitriptyline,29300-422-05,29300042205
amitriptyline,29300-423-01,29300042301
amitriptyline,29300-423-05,29300042305
amitriptyline,29300-424-01,29300042401
amitriptyline,29300-424-05,29300042405
amitriptyline,70518-2258-0,70518225800
amitriptyline,63187-229-60,63187022960
amitriptyline,67544-253-70,67544025370
amitriptyline,70518-2570-0,70518257000
amitriptyline,55289-124-12,55289012412
amitriptyline,55289-124-30,55289012430
amitriptyline,57664-687-18,57664068718
amitriptyline,57664-688-88,57664068888
amitriptyline,16714-257-01,16714025701
amitriptyline,16714-257-02,16714025702
amitriptyline,16714-258-01,16714025801
amitriptyline,16714-258-02,16714025802
amitriptyline,16714-259-01,16714025901
amitriptyline,16714-259-02,16714025902
amitriptyline,16714-260-01,16714026001
amitriptyline,16714-261-01,16714026101
amitriptyline,16714-262-01,16714026201
amitriptyline,68788-6320-9,68788632009
amitriptyline,70934-071-90,70934007190
amitriptyline,60760-367-30,60760036730
amitriptyline,70934-428-30,70934042830
amitriptyline,70934-430-30,70934043030
amitriptyline,68788-7061-3,68788706103
amitriptyline,70934-607-30,70934060730
amitriptyline,70934-607-60,70934060760
amitriptyline,70934-607-90,70934060790
amitriptyline,70934-703-90,70934070390
amitriptyline,68788-6432-3,68788643203
amitriptyline,68788-6899-6,68788689906
amitriptyline,71205-466-30,71205046630
amitriptyline,71205-466-60,71205046660
amitriptyline,71205-466-90,71205046690
amitriptyline,45865-648-30,45865064830
amitriptyline,71335-0566-1,71335056601
amitriptyline,71335-0566-2,71335056602
amitriptyline,71335-0566-3,71335056603
amitriptyline,71335-0566-4,71335056604
amitriptyline,71335-0566-5,71335056605
amitriptyline,68788-6825-6,68788682506
amitriptyline,68788-6825-8,68788682508
amitriptyline,63187-408-30,63187040830
amitriptyline,55700-600-60,55700060060
amitriptyline,55700-600-90,55700060090
amitriptyline,67296-0932-1,67296093201
amitriptyline,71335-1254-0,71335125400
amitriptyline,71335-1254-1,71335125401
amitriptyline,71335-1254-2,71335125402
amitriptyline,71335-1254-3,71335125403
amitriptyline,71335-1254-4,71335125404
amitriptyline,71335-1254-5,71335125405
amitriptyline,71335-1254-6,71335125406
amitriptyline,71335-1254-7,71335125407
amitriptyline,71335-1254-8,71335125408
amitriptyline,71335-1254-9,71335125409
amitriptyline,55700-619-30,55700061930
amitriptyline,67296-0388-1,67296038801
amitriptyline,53002-4910-3,53002491003
amitriptyline,53002-4910-6,53002491006
amitriptyline,61919-076-60,61919007660
amitriptyline,0378-0211-01,00378021101
amitriptyline,0378-0211-05,00378021105
amitriptyline,0378-0277-01,00378027701
amitriptyline,0378-0277-05,00378027705
amitriptyline,42571-303-01,42571030301
amitriptyline,42571-303-05,42571030305
amitriptyline,42571-302-01,42571030201
amitriptyline,42571-302-05,42571030205
amitriptyline,0378-0574-01,00378057401
amitriptyline,0378-0574-05,00378057405
amitriptyline,0378-0042-01,00378004201
amitriptyline,0378-0073-01,00378007301
amitriptyline,0378-0330-01,00378033001
amitriptyline,0378-0330-05,00378033005
amitriptyline,0378-0442-01,00378044201
amitriptyline,0378-0442-05,00378044205
amoxapine,0591-5714-01,00591571401
amoxapine,0591-5715-01,00591571501
amoxapine,0591-5716-30,00591571630
bupropion,0187-5810-30,00187581030
bupropion,0187-5811-07,00187581107
bupropion,0187-5811-30,00187581130
