drug,ndc_raw,ndc
aripiprazole,46708-254-10,46708025410
aripiprazole,46708-255-10,46708025510
aripiprazole,46708-255-71,46708025571
aripiprazole,46708-256-10,46708025610
aripiprazole,46708-257-10,46708025710
aripiprazole,46708-258-10,46708025810
aripiprazole,46708-259-10,46708025910
aripiprazole,70518-2958-0,70518295800
aripiprazole,48433-118-10,48433011810
aripiprazole,43547-305-10,43547030510
aripiprazole,65862-662-78,65862066278
aripiprazole,16714-785-01,16714078501
aripiprazole,68788-7006-9,68788700609
aripiprazole,43598-557-05,43598055705
aripiprazole,43598-558-05,43598055805
aripiprazole,76282-048-30,76282004830
aripiprazole,65862-663-78,65862066378
aripiprazole,65862-664-05,65862066405
aripiprazole,65862-664-30,65862066430
aripiprazole,65862-665-05,65862066505
aripiprazole,65862-665-78,65862066578
aripiprazole,43353-140-15,43353014015
aripiprazole,65162-897-50,65162089750
aripiprazole,68788-7063-1,68788706301
aripiprazole,76282-049-01,76282004901
aripiprazole,72865-153-05,72865015305
aripiprazole,72865-153-30,72865015330
aripiprazole,72865-154-05,72865015405
aripiprazole,72865-154-30,72865015430
aripiprazole,72865-155-05,72865015505
aripiprazole,72865-155-30,72865015530
aripiprazole,72865-156-05,72865015605
aripiprazole,43598-556-05,43598055605
aripiprazole,43598-559-05,43598055905
aripiprazole,50228-475-10,50228047510
aripiprazole,50228-475-30,50228047530
aripiprazole,50228-476-10,50228047610
aripiprazole,50228-476-30,50228047630
aripiprazole,50228-477-10,50228047710
aripiprazole,50228-477-30,50228047730
aripiprazole,50228-478-10,50228047810
aripiprazole,50228-478-30,50228047830
aripiprazole,50228-479-10,50228047910
aripiprazole,50228-479-30,50228047930
aripiprazole,50228-480-10,50228048010
aripiprazole,50228-480-30,50228048030
aripiprazole,72865-156-30,72865015630
aripiprazole,72865-157-05,72865015705
aripiprazole,72865-157-30,72865015730
aripiprazole,72865-158-05,72865015805
aripiprazole,72865-158-30,72865015830
aripiprazole,50090-3941-0,50090394100
aripiprazole,54838-570-70,54838057070
aripiprazole,76282-046-01,76282004601
aripiprazole,76282-047-30,76282004730
aripiprazole,63629-7774-1,63629777401
aripiprazole,50090-4665-0,50090466500
aripiprazole,50090-4665-1,50090466501
aripiprazole,50090-4800-1,50090480001
aripiprazole,43547-304-50,43547030450
aripiprazole,60687-213-21,60687021321
aripiprazole,53808-1101-1,53808110101
aripiprazole,50228-324-10,50228032410
aripiprazole,50228-325-30,50228032530
aripiprazole,60505-2677-3,60505267703
aripiprazole,29300-175-01,29300017501
aripiprazole,29300-175-13,29300017513
aripiprazole,29300-176-01,29300017601
aripiprazole,29300-176-13,29300017613
aripiprazole,29300-177-01,29300017701
aripiprazole,29300-177-13,29300017713
aripiprazole,29300-178-01,29300017801
aripiprazole,29300-178-13,29300017813
aripiprazole,29300-179-01,29300017901
aripiprazole,29300-179-13,29300017913
aripiprazole,29300-180-01,29300018001
aripiprazole,29300-180-13,29300018013
aripiprazole,63187-965-90,63187096590
aripiprazole,0904-6509-04,00904650904
aripiprazole,0904-6510-61,00904651061
aripiprazole,0904-6511-61,00904651161
aripiprazole,0904-6512-04,00904651204
aripiprazole,0904-6513-04,00904651304
aripiprazole,0904-6514-04,00904651404
aripiprazole,0904-6656-40,00904665640
aripiprazole,68788-7063-3,68788706303
aripiprazole,76483-100-00,76483010000
aripiprazole,76483-100-01,76483010001
aripiprazole,76483-100-02,76483010002
aripiprazole,76483-100-03,76483010003
aripiprazole,76483-101-00,76483010100
aripiprazole,76483-101-01,76483010101
aripiprazole,76483-101-02,76483010102
aripiprazole,76483-101-03,76483010103
aripiprazole,76483-102-00,76483010200
aripiprazole,76483-102-01,76483010201
aripiprazole,76483-102-02,76483010202
aripiprazole,76483-102-03,76483010203
aripiprazole,76483-103-00,76483010300
aripiprazole,76483-103-01,76483010301
aripiprazole,76483-103-02,76483010302
aripiprazole,76483-103-03,76483010303
aripiprazole,43353-147-45,43353014745
aripiprazole,76282-049-30,76282004930
aripiprazole,68788-7006-6,68788700606
aripiprazole,46708-254-60,46708025460
aripiprazole,46708-258-30,46708025830
aripiprazole,46708-259-31,46708025931
aripiprazole,46708-261-10,46708026110
aripiprazole,59651-110-55,59651011055
aripiprazole,76282-045-01,76282004501
aripiprazole,76282-047-01,76282004701
aripiprazole,50090-5839-1,50090583901
aripiprazole,43547-306-50,43547030650
aripiprazole,72578-106-78,72578010678
aripiprazole,72578-107-78,72578010778
aripiprazole,43598-733-30,43598073330
aripiprazole,72578-106-06,72578010606
aripiprazole,72578-107-06,72578010706
aripiprazole,50268-087-12,50268008712
aripiprazole,70518-3090-0,70518309000
aripiprazole,50228-324-30,50228032430
aripiprazole,50228-326-30,50228032630
aripiprazole,60505-2673-8,60505267308
aripiprazole,60505-2677-8,60505267708
aripiprazole,60505-2674-3,60505267403
aripiprazole,50228-327-30,50228032730
aripiprazole,50228-330-30,50228033030
aripiprazole,63739-413-10,63739041310
aripiprazole,50268-092-12,50268009212
aripiprazole,16729-278-01,16729027801
aripiprazole,16729-278-10,16729027810
