drug,ndc_raw,ndc
amphetamine,47781-180-01,47781018001
amphetamine,71335-0171-1,71335017101
amphetamine,71335-0171-2,71335017102
amphetamine,71335-0171-3,71335017103
amphetamine,71335-0171-4,71335017104
amphetamine,71335-0171-5,71335017105
amphetamine,66993-596-02,66993059602
amphetamine,66993-599-02,66993059902
amphetamine,16714-805-01,16714080501
amphetamine,43602-982-15,43602098215
amphetamine,43602-982-16,43602098216
amphetamine,43602-983-15,43602098315
amphetamine,43602-983-16,43602098316
amphetamine,43602-984-15,43602098415
amphetamine,43602-984-16,43602098416
amphetamine,43602-985-15,43602098515
amphetamine,43602-985-16,43602098516
amphetamine,43602-986-15,43602098615
amphetamine,43602-986-16,43602098616
amphetamine,43602-987-15,43602098715
amphetamine,43602-987-16,43602098716
amphetamine,43602-988-15,43602098815
amphetamine,43602-988-16,43602098816
amphetamine,60687-644-25,60687064425
amphetamine,57664-642-08,57664064208
amphetamine,16714-808-01,16714080801
amphetamine,16714-807-01,16714080701
amphetamine,16714-803-01,16714080301
amphetamine,16714-806-01,16714080601
amphetamine,16714-802-01,16714080201
amphetamine,16714-804-01,16714080401
amphetamine,57664-641-08,57664064108
amphetamine,66993-594-02,66993059402
amphetamine,66993-598-02,66993059802
amphetamine,66993-597-02,66993059702
amphetamine,43602-370-01,43602037001
amphetamine,43602-370-05,43602037005
amphetamine,43602-371-01,43602037101
amphetamine,43602-371-05,43602037105
amphetamine,43602-372-01,43602037201
amphetamine,43602-372-05,43602037205
amphetamine,43602-373-01,43602037301
amphetamine,43602-373-05,43602037305
amphetamine,43602-374-01,43602037401
amphetamine,43602-374-05,43602037405
amphetamine,43602-375-01,43602037501
amphetamine,43602-375-05,43602037505
amphetamine,43602-376-01,43602037601
amphetamine,43602-376-05,43602037605
amphetamine,66993-595-02,66993059502
amphetamine,31722-155-01,31722015501
amphetamine,31722-156-01,31722015601
amphetamine,31722-157-01,31722015701
amphetamine,31722-158-01,31722015801
amphetamine,31722-159-01,31722015901
amphetamine,31722-163-01,31722016301
amphetamine,31722-164-01,31722016401
amphetamine,0781-2329-01,00781232901
amphetamine,0781-2335-01,00781233501
amphetamine,0781-2343-01,00781234301
amphetamine,0781-2352-01,00781235201
amphetamine,0781-2368-01,00781236801
amphetamine,0781-2371-01,00781237101
amphetamine,57664-644-08,57664064408
amphetamine,57664-645-08,57664064508
amphetamine,57664-647-08,57664064708
amphetamine,57664-643-08,57664064308
amphetamine,57664-646-08,57664064608
amphetamine,75826-126-30,75826012630
amphetamine,51862-346-90,51862034690
amphetamine,13107-035-01,13107003501
amphetamine,13107-035-50,13107003550
amphetamine,13107-035-99,13107003599
amphetamine,13107-036-01,13107003601
amphetamine,13107-036-50,13107003650
amphetamine,13107-036-99,13107003699
amphetamine,45963-303-09,45963030309
amphetamine,52536-500-01,52536050001
amphetamine,0115-9928-10,00115992810
amphetamine,11534-188-01,11534018801
amphetamine,11534-189-01,11534018901
amphetamine,11534-189-03,11534018903
amphetamine,11534-188-03,11534018803
amphetamine,0115-9929-10,00115992910
amphetamine,0115-9927-10,00115992710
amphetamine,45963-304-09,45963030409
amphetamine,0555-0952-02,00555095202
amphetamine,0555-0953-02,00555095302
amphetamine,43386-871-10,43386087110
amphetamine,52536-515-03,52536051503
amphetamine,52536-520-03,52536052003
amphetamine,52536-530-03,52536053003
amphetamine,51862-345-90,51862034590
amphetamine,63629-2374-1,63629237401
amphetamine,63629-2375-1,63629237501
amphetamine,0406-8958-01,00406895801
amphetamine,0406-8959-01,00406895901
amphetamine,0406-8960-01,00406896001
amphetamine,0406-8961-01,00406896101
amphetamine,0406-8962-01,00406896201
amphetamine,51862-344-90,51862034490
amphetamine,43386-870-03,43386087003
amphetamine,43386-871-01,43386087101
amphetamine,10702-065-01,10702006501
amphetamine,10702-065-03,10702006503
amphetamine,10702-065-06,10702006506
amphetamine,10702-066-01,10702006601
amphetamine,10702-066-03,10702006603
amphetamine,10702-066-06,10702006606
amphetamine,66993-359-57,66993035957
amphetamine,43386-870-10,43386087010
amphetamine,43386-871-03,43386087103
amphetamine,52536-500-03,52536050003
amphetamine,52536-510-03,52536051003
amphetamine,75826-120-10,75826012010
amphetamine,75826-120-30,75826012030
amphetamine,75826-121-10,75826012110
amphetamine,75826-121-30,75826012130
amphetamine,75826-122-10,75826012210
amphetamine,75826-122-30,75826012230
amphetamine,75826-123-10,75826012310
amphetamine,75826-123-30,75826012330
amphetamine,75826-124-10,75826012410
amphetamine,75826-124-30,75826012430
amphetamine,75826-125-10,75826012510
amphetamine,45963-305-09,45963030509
amphetamine,75826-125-30,75826012530
amphetamine,75826-126-10,75826012610
amphetamine,43386-870-01,43386087001
amphetamine,24478-106-01,24478010601
amphetamine,24478-108-01,24478010801
amphetamine,24478-109-01,24478010901
amphetamine,24478-110-01,24478011001
amphetamine,24478-102-01,24478010201
amphetamine,27808-102-01,27808010201
amphetamine,24338-022-03,24338002203
amphetamine,24338-026-03,24338002603
amphetamine,24338-022-10,24338002210
amphetamine,24338-026-10,24338002610
amphetamine,24338-031-01,24338003101
amphetamine,24338-033-01,24338003301
amphetamine,24338-035-01,24338003501
amphetamine,24338-037-02,24338003702
amphetamine,24338-045-01,24338004501
amphetamine,0054-0389-25,00054038925
amphetamine,68308-115-01,68308011501
amphetamine,0406-8951-01,00406895101
amphetamine,0406-8952-01,00406895201
amphetamine,0406-8953-01,00406895301
amphetamine,0406-8954-01,00406895401
amphetamine,0406-8955-01,00406895501
amphetamine,0406-8956-01,00406895601
amphetamine,54092-468-01,54092046801
amphetamine,54092-474-01,54092047401
amphetamine,54092-477-01,54092047701
amphetamine,54092-471-01,54092047101
amphetamine,17478-704-12,17478070412
amphetamine,21724-701-05,21724070105
amphetamine,24338-850-03,24338085003
amphetamine,24338-851-03,24338085103
amphetamine,24338-852-03,24338085203
amphetamine,24338-853-03,24338085303
amphetamine,24338-854-03,24338085403
amphetamine,24338-855-03,24338085503
amphetamine,24338-856-03,24338085603
amphetamine,24338-850-10,24338085010
amphetamine,24338-851-10,24338085110
amphetamine,24338-852-10,24338085210
