drug,ndc_raw,ndc
cariprazine,70518-3157-0,70518315700
cariprazine,61874-160-30,61874016030
cariprazine,61874-160-07,61874016007
cariprazine,61874-115-17,61874011517
cariprazine,61874-115-20,61874011520
cariprazine,61874-115-31,61874011531
cariprazine,61874-115-07,61874011507
cariprazine,61874-115-30,61874011530
gabapentin,59088-725-00,59088072500
gabapentin,69844-057-01,69844005701
gabapentin,69844-057-02,69844005702
gabapentin,69844-057-03,69844005703
gabapentin,69844-057-04,69844005704
gabapentin,71205-160-90,71205016090
gabapentin,71335-1269-8,71335126908
gabapentin,17856-0600-1,17856060001
gabapentin,71335-1997-0,71335199700
gabapentin,80425-0079-1,80425007901
gabapentin,80425-0079-2,80425007902
gabapentin,63187-810-60,63187081060
gabapentin,71335-1655-0,71335165500
gabapentin,71335-1655-1,71335165501
gabapentin,71335-1655-2,71335165502
gabapentin,71335-1655-3,71335165503
gabapentin,71335-1655-4,71335165504
gabapentin,53002-6423-0,53002642300
gabapentin,53002-6423-3,53002642303
gabapentin,53002-6423-6,53002642306
gabapentin,68788-8176-1,68788817601
gabapentin,68788-8176-3,68788817603
gabapentin,68788-8176-6,68788817606
gabapentin,68788-8176-8,68788817608
gabapentin,68788-8176-9,68788817609
gabapentin,71335-1997-1,71335199701
gabapentin,71335-1997-2,71335199702
gabapentin,71335-1997-3,71335199703
gabapentin,71335-1997-4,71335199704
gabapentin,71335-1997-5,71335199705
gabapentin,71335-1997-6,71335199706
gabapentin,71335-1997-7,71335199707
gabapentin,71335-1997-8,71335199708
gabapentin,0615-8233-05,00615823305
gabapentin,0615-8233-30,00615823330
gabapentin,0615-8233-39,00615823339
gabapentin,71610-211-60,71610021160
gabapentin,71610-211-70,71610021170
gabapentin,71610-211-80,71610021180
gabapentin,71610-211-92,71610021192
gabapentin,71610-211-94,71610021194
gabapentin,71335-1655-5,71335165505
gabapentin,71335-1655-6,71335165506
gabapentin,71335-1655-7,71335165507
gabapentin,71335-1655-8,71335165508
gabapentin,71335-1655-9,71335165509
gabapentin,68788-9509-8,68788950908
gabapentin,65862-200-10,65862020010
gabapentin,71610-426-60,71610042660
gabapentin,0615-8341-05,00615834105
gabapentin,0615-8341-30,00615834130
gabapentin,0615-8341-39,00615834139
gabapentin,72789-123-60,72789012360
gabapentin,62756-137-01,62756013701
gabapentin,62756-137-02,62756013702
gabapentin,62756-137-03,62756013703
gabapentin,62756-137-04,62756013704
gabapentin,62756-137-05,62756013705
gabapentin,72789-289-30,72789028930
gabapentin,68788-7869-8,68788786908
gabapentin,68788-7869-9,68788786909
gabapentin,68788-8199-1,68788819901
gabapentin,68788-8199-3,68788819903
gabapentin,68788-8199-6,68788819906
gabapentin,68788-8199-8,68788819908
gabapentin,50228-180-01,50228018001
gabapentin,65162-698-90,65162069890
gabapentin,72189-109-30,72189010930
gabapentin,72189-109-60,72189010960
gabapentin,72189-109-72,72189010972
gabapentin,72189-109-90,72189010990
gabapentin,71610-630-30,71610063030
gabapentin,71610-630-45,71610063045
gabapentin,71610-630-53,71610063053
gabapentin,71610-630-60,71610063060
gabapentin,71610-630-70,71610063070
gabapentin,71610-630-73,71610063073
gabapentin,71335-1453-0,71335145300
gabapentin,71335-1453-1,71335145301
gabapentin,71335-1453-2,71335145302
gabapentin,71335-1453-3,71335145303
gabapentin,71335-1453-4,71335145304
gabapentin,71335-1453-5,71335145305
gabapentin,71335-1453-6,71335145306
gabapentin,71335-1453-7,71335145307
gabapentin,71335-1453-8,71335145308
gabapentin,71335-1453-9,71335145309
gabapentin,71205-533-30,71205053330
gabapentin,71205-533-60,71205053360
gabapentin,67877-428-05,67877042805
gabapentin,67877-428-38,67877042838
gabapentin,67877-429-38,67877042938
gabapentin,55154-3366-0,55154336600
gabapentin,50436-0223-1,50436022301
gabapentin,50436-0223-2,50436022302
gabapentin,50436-0223-3,50436022303
gabapentin,71610-211-98,71610021198
gabapentin,0615-8342-30,00615834230
gabapentin,0615-8342-39,00615834239
gabapentin,59762-5025-1,59762502501
gabapentin,25000-104-03,25000010403
gabapentin,25000-104-12,25000010412
gabapentin,63629-3063-0,63629306300
gabapentin,63629-3063-1,63629306301
gabapentin,71335-1997-9,71335199709
gabapentin,71335-2004-1,71335200401
gabapentin,71335-2004-2,71335200402
gabapentin,71335-2004-3,71335200403
gabapentin,71335-2004-4,71335200404
gabapentin,71335-2004-5,71335200405
gabapentin,71335-2004-6,71335200406
gabapentin,53002-5472-6,53002547206
gabapentin,50436-0223-4,50436022304
gabapentin,45865-356-49,45865035649
gabapentin,71610-146-53,71610014653
gabapentin,71610-146-98,71610014698
gabapentin,71610-185-60,71610018560
gabapentin,0228-2637-11,00228263711
gabapentin,0228-2637-50,00228263750
