drug,ndc_raw,ndc
alprazolam,61919-836-30,61919083630
alprazolam,61919-849-30,61919084930
alprazolam,61919-849-60,61919084960
alprazolam,65862-454-60,65862045460
alprazolam,49884-111-74,49884011174
alprazolam,71205-652-30,71205065230
alprazolam,71205-652-60,71205065260
alprazolam,71205-652-90,71205065290
alprazolam,68071-5263-6,68071526306
alprazolam,60760-550-30,60760055030
alprazolam,51991-707-01,51991070701
alprazolam,68071-4831-9,68071483109
alprazolam,71610-112-70,71610011270
alprazolam,68071-2292-1,68071229201
alprazolam,67544-415-75,67544041575
alprazolam,67544-415-80,67544041580
alprazolam,59762-3719-3,59762371903
alprazolam,49999-032-60,49999003260
alprazolam,68788-7594-2,68788759402
alprazolam,68788-7594-3,68788759403
alprazolam,68788-7594-6,68788759406
alprazolam,68788-7594-9,68788759409
alprazolam,71610-112-30,71610011230
alprazolam,68071-2220-3,68071222003
alprazolam,70954-510-10,70954051010
alprazolam,70954-510-20,70954051020
alprazolam,70954-510-30,70954051030
alprazolam,65862-455-71,65862045571
alprazolam,65862-456-99,65862045699
alprazolam,65862-677-99,65862067799
alprazolam,51991-707-05,51991070705
alprazolam,51991-707-10,51991070710
alprazolam,72189-029-90,72189002990
alprazolam,0228-3083-06,00228308306
alprazolam,67296-1748-1,67296174801
alprazolam,71610-112-53,71610011253
alprazolam,61919-836-60,61919083660
alprazolam,61919-836-90,61919083690
alprazolam,72189-240-90,72189024090
alprazolam,45865-424-30,45865042430
alprazolam,45865-424-60,45865042460
alprazolam,51991-704-05,51991070405
alprazolam,0781-1061-01,00781106101
alprazolam,0781-1061-05,00781106105
alprazolam,0781-1061-10,00781106110
alprazolam,70518-2870-0,70518287000
alprazolam,59762-3721-4,59762372104
alprazolam,63187-971-30,63187097130
alprazolam,63187-971-60,63187097160
alprazolam,63187-971-90,63187097190
alprazolam,65162-813-50,65162081350
alprazolam,51991-705-01,51991070501
alprazolam,67544-347-90,67544034790
alprazolam,53002-4181-1,53002418101
alprazolam,53002-4181-2,53002418102
alprazolam,0781-1079-01,00781107901
alprazolam,0781-1079-05,00781107905
alprazolam,0781-1079-10,00781107910
alprazolam,72189-240-30,72189024030
alprazolam,45865-972-30,45865097230
alprazolam,71610-112-60,71610011260
alprazolam,0781-1089-05,00781108905
alprazolam,71205-614-90,71205061490
alprazolam,71205-614-60,71205061460
alprazolam,80425-0110-2,80425011002
alprazolam,59762-0059-1,59762005901
alprazolam,53002-4181-3,53002418103
alprazolam,51991-705-05,51991070505
alprazolam,50090-5078-0,50090507800
alprazolam,67544-347-60,67544034760
alprazolam,67544-347-75,67544034775
alprazolam,67544-347-70,67544034770
alprazolam,51991-705-10,51991070510
alprazolam,65162-809-50,65162080950
alprazolam,65862-679-99,65862067999
alprazolam,68071-4818-3,68071481803
alprazolam,72789-024-06,72789002406
alprazolam,72789-024-30,72789002430
alprazolam,72789-024-60,72789002460
alprazolam,72789-024-90,72789002490
alprazolam,50090-5262-1,50090526201
alprazolam,66267-564-30,66267056430
alprazolam,59762-3722-3,59762372203
alprazolam,35356-744-30,35356074430
alprazolam,50090-5257-0,50090525700
